Gạo nếp cái;346;100g
Gạo;344;100g
Bắp tươi;196;100g
Bánh bao;319;100g
Bánh tráng mỏng;333;100g
Bánh đúc;52;100g
Bánh mì;249;100g
Bánh phở;141;100g
Bún;110;100g
Củ sắn;152;100g
Củ từ;92;100g
Khoai lang;119;100g
Khoai lang nghệ;116;100g
Khoai môn;109;100g
Khoai tây;92;100g
Miến dong;332;100g
Bột sắn dây;340;100g
Khoai tây chiên;525;100g
Thịt bê nạc;85;100g
Thịt bò;118;100g
Thịt dê nạc;338;100g
Thịt gà ta;199;100g
Thịt heo mỡ;394;100g
Thịt heo nac;139;100g
Thịt heo ba chỉ;260;100g
Thịt thỏ;158;100g
Thịt vịt;267;100g
Cật bò;67;100g
Cật heo;81;100g
Da heo;118;100g
Giò heo bỏ xương;230;100g
Bao tử bò;97;100g
Bao tử heo;95;100g
Đầu heo;335;100g
Đuôi bò;137;100g
Đuôi heo;467;100g
Gan bò;110;100g
Gan gà;111;100g
Gan heo;116;100g
Gan vịt;122;100g
Gan chân giò;124;100g
Lưỡi bò;164;100g
Lưỡi heo;178;100g
Lòng heo (ruột già);167;100g
Phèo heo;44;100g
Mề gà;99;100g
Ốc bò;124;100g
Ốc heo;123;100g
Sườn heo bò xương;187;100g
Tai heo;121;100g
Tim bò;89;100g
Tim gà;114;100g
Tim heo;89;100g
Huyết bò;75;100g
Huyết heo luộc;44;100g
Huyết heo sống;25;100g
Ba tê;326;100g
Chả quế;416;100g
Dăm bông heo;318;100g
Chả bò;357;100g
Chả lụa;136;100g
Giò thủ;553;100g
Lạp xưởng;585;100g
Nem chua;137;100g
Chà bông (ruốt thịt);396;100g
Thịt bò kho;239;100g
Xúc xích;535;100g
Ếch;90;100g
Nhộng;111;100g
Cá bống;70;100g
Cá chép;96;100g
Cá đối;108;100g
Cá hồi;136;100g
Cá khô;208;100g
Cá mè;144;100g
Cá mòi;124;100g
Cá mỡ;151;100g
Cá nạc;80;100g
Cá ngừ;87;100g
Cá nục;111;100g
Cá phèn;104;100g
Cá lóc;97;100g
Cá rô đồng;126;100g
Cá rô phi;100;100g
Cá thu;166;100g
Cá trê;173;100g
Cua biển;103;100g
Cua đồng;87;100g
Ghẹ;54;100g
Hải sâm;90;100g
Hến;45;100g
Lươn;94;100g
Mực khô;291;100g
Mực tươi;73;100g
Ốc bươu;84;100g
Ba khía muối;83;100g
Sò;51;100g
Tép gạo;58;100g
Tôm biển;82;100g
Tôm đồng;90;100g
Tôm khô;347;100g
Bánh phồng tôm;676;100g
Chà bông cá lóc;312;100g
Trứng gà;166;100g
Lòng đỏ trứng gà;327;100g
Lòng trắng trứng gà;46;100g
Trứng vịt;184;100g
Lòng đỏ trứng vịt;368;100g
Lòng trắng trứng vịt;50;100g
Trứng vịt lộn;182;100g
Sữa bò mẹ;74;100g
Sữa mẹ;61;100g
Bơ;756;100g
Dầu thực vật;897;100g
Mỡ nước;896;100g
Cùi dừa già;368;100g
Cùi dừa non;40;100g
Đậu đen;325;100g
Đậu xanh;342;100g
Hạt điều;328;100g
Đậu phộng;605;100g
Mè;573;100g
Đậu phụ;568;100g
Bầu;14;100g
Bí đao (bí xanh);12;100g
Bí rợ (bí đỏ);24;100g
Cà 108g;22;100g
Cà chua;19;100g
Cà rốt;38;100g
Cà tím;22;100g
Bắp cải;29;100g
Cải cúc (tần ô);14;100g
Cải soong;14;100g
Cải xanh;15;100g
Cần ta;10;100g
Cần tây;47;100g
Chuối xanh;72;100g
Củ cải trắng;21;100g
Củ sắn;28;100g
Bạc hà;5;100g
Dưa leo;15;100g
Đậu cô ve;73;100g
Đậu đũa;57;100g
Đậu hà lan;70;100g
Đậu rồng;34;100g
Đu đủ xanh;22;100g
Gấc;122;100g
Giá đậu xanh;43;100g
Hành củ tươi;24;100g
Hành lá;22;100g
Hành tây;40;100g
Hạt sen tươi;158;100g
Hạt sen khô;334;100g
Hẹ lá;16;100g
Bắp chuối;20;100g
Khế;15;100g
Lá lốt;39;100g
Mãng tre;14;100g
Mướp;16;100g
Khổ qua;16;100g
Ngó sen;60;100g
Quả me chua;27;100g
Rau bí;18;100g
Rau giấp cá;22;100g
Rau dền;41;100g
Rau lang;22;100g
Rau má;20;100g
Rau mồng tơi;14;100g
Rau ngò;13;100g
Rau ngò gai;21;100g
Rau muống;23;100g
Rau om;15;100g
Rau ngót;35;100g
Rau răm;30;100g
Rau nhút;28;100g
Rau sà lách (Salad);15;100g
Rau thơm;18;100g
Su su;18;100g
Súp lơ (bông cải);30;100g
Thìa là;22;100g
Tỏi ta;118;100g
Tỏi tây (cải lá);29;100g
Dưa cải bẹ;17;100g
Dưa chuột muối;13;100g
Dưa giá;39;100g
Hành củ muối;22;100g
Kiệu muối;24;100g
Nấm mèo;304;100g
Nấm đông cô;274;100g
Nấm rơm;57;100g
Chanh;23;100g
Chôm chôm;72;100g
Dâu gia;27;100g
Dâu tây;43;100g
Dưa bở;18;100g
Dưa lê;18;100g
Mãng cầu xiêm;50;100g
Nhãn nhục;285;100g
Ổi;33;100g
Lê Ki Ma;106;100g
Tắc;26;100g
Vải khô;260;100g
Cơm trắng;200;58g
Cơm trắng;372;108g
Cơm trắng;406;108g
Cơm tấm bì;627;108g
Cơm tấm chả;592;108g
Cơm sườn tấm;527;108g
Cá bạc má kho;167;100g
Cá đối kho;82;50g
Cá hú kho;184;87g
Cá lóc kho;131;81g
Cá ngừ kho;122;80g
Xíu mại;104;104g
Chả lụa kho;102;75g
Chả viên kho;100;77g
Đậu hủ dồn thịt;328;164g
Giò heo kho củ cải;276;184g
Thịt kho tiêu;200;80g
Thịt kho trứng;315;143g
Gà kho rừng;301;167g
Gà rô ti;300;150g
Đùi heo phá lấu;242;97g
Thịt heo quay;146;49g
Sườn ram;155;62g
Sườn nướng;111;37g
Chả trứng chưng;195;78g
Mắm chưng;194;78g
Cá chép chưng tương;156;87g
Cá chim chiên;111;100g
Cá bạc má chiên;135;100g
Cá đối chiên;108;100g
Cá cơm lăn bột chiên;195;100g
Cá lóc chiên;169;50g
Cá trê chiên;219;100g
Chim cút chiên bơ;208;100g
Chả cá chiên;133;53g
Chả giò chiên;41;20.5g
Lạp xưởng chiên;293;73.25g
Tép rang;101;50.5g
Bầu xào trứng;109;72.67g
Khổ qua xào trứng;114;76g
Gan heo xào;200;80g
Gà xào sả ớt;272;108.8g
Mực xào sả ớt;184;92g
Mực xào thập cẩm;136;68g
Thịt bò xào đậu que;195;78g
Thịt bò xào giá hẹ;143;71.5g
Thịt bò xào hành tây;132;66g
Thịt vò xào nấm rơm;152;60.8g
Thịt bò xào khoai tây;246;98.4g
Thịt bò xào măng;104;52g
Thịt heo xào đậu que;240;96g
Thịt heo xào giá;188;94g
Canh bắp cải;37;185g
Canh bí đao;30;150g
Canh bầu;29;145g
Canh bí rợ;30;150g
Canh khoai mỡ;42;140g
Canh chua;51;170g
Canh khổ qua hầm;175;350g
Canh hẹ;33;165g
Canh mướp;31;155g
Canh rau ngót;29;145g
Canh rau dền;22;110g
Bì cuốn;116;77.3g
Bò bía;93;62g
Gỏi cuốn;147;98g
Gỏi khô bò;268;107.2g
Bò cuốn lá lốp bình dân;841;210.25g
Bò cuốn lá lốp đặc biệt;967;241.75g
Bò cuốn mỡ chài bình dân;1180;295g
Bò cuốn mỡ chài;1535;383.75g
Bánh bao chay;220;110g
